Id,device_usage_days,device_usage_rate_pct,avg_daily_steps,median_daily_steps,avg_daily_calories,avg_sedentary_minutes,avg_active_minutes,avg_very_active_minutes,avg_distance_km,active_days,avg_sleep_minutes,sleep_days_logged,sleep_minutes_std,avg_sleep_hours,activity_tier,usage_frequency_tier
4445114986,31,100.0,4797.0,4514.0,2186.0,829.9032258064516,217.4516129032258,6.612903225806452,3.2458064402303384,31,385.0,28.0,95.54523984554572,6.4,"Sedentary (<5,000)",Near-daily use (28-31 days)
4558609924,31,100.0,7685.0,7833.0,2033.0,1093.6129032258063,309.06451612903226,10.387096774193548,5.080645176672166,31,128.0,5.0,25.84182656082963,2.1,"Somewhat active (7,500-9,999)",Near-daily use (28-31 days)
4702921684,31,100.0,8858.0,8703.5,2997.0,743.9666666666667,277.6,5.3,7.186999992529553,30,417.0,27.0,66.524934810693,7.0,"Somewhat active (7,500-9,999)",Near-daily use (28-31 days)
5553957443,31,100.0,8613.0,9769.0,1876.0,668.3548387096774,242.61290322580646,23.419354838709676,5.63967744958016,31,463.0,31.0,108.2887716456149,7.7,"Somewhat active (7,500-9,999)",Near-daily use (28-31 days)
5577150313,30,96.8,8898.0,8463.0,3470.0,705.4642857142857,284.0357142857143,93.57142857142857,6.65714282648904,28,432.0,26.0,98.74127809583995,7.2,"Somewhat active (7,500-9,999)",Near-daily use (28-31 days)
6117666160,28,90.3,8579.0,8206.0,2427.0,656.3478260869565,355.4347826086956,1.9130434782608696,6.503478330114612,23,479.0,18.0,84.1074631615835,8.0,"Somewhat active (7,500-9,999)",Near-daily use (28-31 days)
6290855005,29,93.5,6553.0,6361.0,2768.0,1153.52,271.44,3.2,4.9560000133514395,25,,,,,"Low active (5,000-7,499)",Near-daily use (28-31 days)
6775888955,26,83.9,3854.0,2503.0,2286.0,1225.0,100.88235294117646,16.823529411764707,2.7735293776016032,17,350.0,3.0,100.58495580022557,5.8,"Sedentary (<5,000)",High use (21-27 days)
6962181067,31,100.0,9795.0,10433.0,1982.0,662.3225806451613,287.1290322580645,22.806451612903224,6.585806477454403,31,448.0,31.0,62.50066666311115,7.5,"Somewhat active (7,500-9,999)",Near-daily use (28-31 days)
7007744171,26,83.9,11776.0,13541.0,2583.0,1039.96,341.16,32.28,8.335999975204466,25,68.0,2.0,14.849242404917497,1.1,"Active (10,000-12,499)",High use (21-27 days)
7086361926,31,100.0,9684.0,10189.5,2598.0,830.8,218.83333333333334,44.0,6.6009999914094815,30,453.0,24.0,69.34558228617519,7.6,"Somewhat active (7,500-9,999)",Near-daily use (28-31 days)
8053475328,31,100.0,14763.0,15108.0,2946.0,1148.0,245.70967741935485,85.16129032258064,11.475161198646788,31,297.0,3.0,208.0937288819632,5.0,"Highly active (12,500+)",Near-daily use (28-31 days)
8253242879,19,61.3,6842.0,6647.5,1887.0,1278.888888888889,160.16666666666666,21.666666666666668,4.9266667167345695,18,,,,,"Low active (5,000-7,499)",Moderate use (11-20 days)
8378563200,31,100.0,8718.0,8382.0,3437.0,716.1290322580645,225.03225806451613,58.67741935483871,6.913548461852531,31,445.0,31.0,76.77575222055631,7.4,"Somewhat active (7,500-9,999)",Near-daily use (28-31 days)
8583815059,31,100.0,7438.0,7207.0,2823.0,1261.4666666666667,175.83333333333334,10.0,5.802666616439821,30,,,,,"Low active (5,000-7,499)",Near-daily use (28-31 days)
8792009665,29,93.5,2688.0,2057.0,2086.0,889.7,140.35,1.4,1.7204999893903739,20,436.0,15.0,65.46063884576165,7.3,"Sedentary (<5,000)",Near-daily use (28-31 days)
8877689391,31,100.0,16040.0,15118.0,3420.0,1112.8709677419354,310.7096774193548,66.06451612903226,13.212903138129944,31,,,,,"Highly active (12,500+)",Near-daily use (28-31 days)
